,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 13
0,M Muralitharan (Asia/ICC/SL),1993-2011,337,336,18589,12186,529,7/30,23.03,3.93,35.1,15,10,
1,Wasim Akram (PAK),1984-2003,350,349,18138,11772,500,5/15,23.54,3.89,36.2,17,6,
2,Waqar Younis (PAK),1989-2003,258,257,12671,9888,416,7/36,23.76,4.68,30.4,14,13,
3,WPUJC Vaas (Asia/SL),1994-2008,311,311,15513,10794,396,8/19,27.25,4.17,39.1,9,4,
4,Shahid Afridi (Asia/ICC/PAK),1996-2015,389,370,17603,13589,392,7/12,34.66,4.63,44.9,4,9,
5,SM Pollock (Afr/ICC/SA),1996-2008,293,290,15424,9482,386,6/35,24.56,3.68,39.9,12,5,
6,GD McGrath (AUS/ICC),1993-2007,245,245,12874,8312,379,7/15,21.93,3.87,33.9,9,7,
7,B Lee (AUS),2000-2012,209,209,10935,8716,367,5/22,23.74,4.78,29.7,14,8,
8,A Kumble (Asia/INDIA),1990-2007,259,259,14237,10250,330,6/12,31.06,4.31,43.1,8,2,
9,SL Malinga (SL),2004-2019,212,212,10624,9521,329,6/38,28.93,5.37,32.2,11,8,
10,ST Jayasuriya (Asia/SL),1989-2011,429,364,14748,11758,322,6/29,36.51,4.78,45.8,8,4,
11,J Srinath (INDIA),1991-2003,222,222,11749,8707,311,5/23,27.99,4.44,37.7,7,3,
12,DL Vettori (ICC/NZ),1997-2015,274,267,13722,9446,301,5/7,31.38,4.13,45.5,8,2,
13,SK Warne (AUS/ICC),1993-2005,192,190,10582,7497,293,5/33,25.58,4.25,36.1,12,1,
14,Saqlain Mushtaq (PAK),1995-2003,166,165,8770,6275,288,5/20,21.78,4.29,30.4,11,6,
15,Shakib Al Hasan (BAN),2006-2022,217,216,11247,8315,282,5/29,29.48,4.43,39.8,9,3,
16,AB Agarkar (INDIA),1998-2007,182,182,9269,7807,281,6/42,27.78,5.05,32.9,10,2,
17,Z Khan (Asia/INDIA),2000-2012,190,190,9749,8035,271,5/42,29.64,4.94,35.9,7,1,
18,AA Donald (SA),1991-2003,160,160,8459,5880,269,6/23,21.85,4.17,31.4,11,2,
19,Abdul Razzaq (Asia/PAK),1996-2011,259,252,10905,8536,268,6/35,31.85,4.69,40.6,8,3,
20,JH Kallis (Afr/ICC/SA),1996-2014,318,279,10624,8549,268,5/30,31.89,4.82,39.6,2,2,
21,Mashrafe Mortaza (Asia/BAN),2001-2020,217,217,10778,8783,268,6/26,32.77,4.88,40.2,7,1,
22,JM Anderson (ENG),2002-2015,187,186,9428,7763,267,5/23,29.07,4.94,35.3,11,2,
23,M Ntini (ICC/SA),1998-2009,167,167,8533,6453,259,6/22,24.91,4.53,32.9,8,4,
24,Harbhajan Singh (Asia/INDIA),1998-2015,221,219,12107,8757,258,5/31,33.94,4.33,46.9,2,3,
25,N Kapil Dev (INDIA),1978-1994,218,217,11046,6857,249,5/43,27.53,3.72,44.3,3,1,
26,Shoaib Akhtar (Asia/ICC/PAK),1998-2011,160,160,7656,6108,242,6/16,25.23,4.78,31.6,6,4,
27,HH Streak (Afr/ZIM),1993-2005,182,180,9288,7009,233,5/32,30.08,4.52,39.8,7,1,
28,MG Johnson (AUS),2005-2015,142,142,7296,5902,231,6/31,25.54,4.85,31.5,8,3,
29,KD Mills (NZ),2001-2015,160,160,7894,6208,231,5/25,26.87,4.71,34.1,8,1,
30,D Gough (ENG/ICC),1994-2006,152,151,8248,6025,228,5/44,26.42,4.38,36.1,10,2,
31,CEL Ambrose (WI),1988-2000,174,174,9323,5425,225,5/17,24.11,3.49,41.4,6,4,
32,CA Walsh (WI),1985-2000,200,200,10714,6869,224,5/1,30.66,3.84,47.8,6,1,
